transaction_id,customer_id,amount,transaction_type,channel,merchant_category,timestamp,status,risk_score,segment,credit_score,is_fraud
25607,4169,160.41,transferencia,web,eletronico,2025-01-01 00:00:00,approved,26.71,High-Risk,577,False
3433,4220,21.12,compra,app,servicos,2025-01-01 00:00:00,approved,57.7,Premium,612,False
20910,7081,94.62,compra,app,viagem,2025-01-01 00:00:00,approved,42.39,Premium,810,False
15864,81,224.0,compra,web,viagem,2025-01-01 01:00:00,approved,58.75,Premium,589,False
16181,215,801.25,compra,app,varejo,2025-01-01 01:00:00,approved,23.29,Premium,618,False
17379,2528,6.91,pagamento,web,eletronico,2025-01-01 01:00:00,approved,28.18,Standard,608,False
22089,2549,1612.12,compra,web,servicos,2025-01-01 02:00:00,approved,57.28,Standard,531,False
25879,168,216.56,compra,pos,varejo,2025-01-01 02:00:00,approved,85.01,Premium,460,False
21776,6608,48.39,compra,app,servicos,2025-01-01 02:00:00,approved,33.6,Premium,837,False
8168,3235,37.56,transferencia,app,viagem,2025-01-01 02:00:00,approved,32.13,Premium,397,False
5753,5735,179.63,transferencia,pos,varejo,2025-01-01 02:00:00,approved,63.11,Standard,761,False
25003,6408,46.72,compra,app,eletronico,2025-01-01 02:00:00,approved,24.76,High-Risk,494,False
27509,6690,91.16,transferencia,app,varejo,2025-01-01 02:00:00,approved,2.03,Premium,589,False
11807,3696,53.31,pagamento,atm,viagem,2025-01-01 03:00:00,approved,39.22,Premium,598,False
16810,3639,77.05,compra,web,varejo,2025-01-01 03:00:00,approved,29.99,High-Risk,900,False
16893,5660,23.01,transferencia,web,varejo,2025-01-01 03:00:00,approved,47.62,Standard,661,False
27844,2541,11.0,compra,app,eletronico,2025-01-01 03:00:00,approved,74.69,Premium,645,False
65,1661,151.54,compra,web,servicos,2025-01-01 03:00:00,approved,67.4,Standard,374,False
19761,3109,241.7,compra,atm,servicos,2025-01-01 03:00:00,approved,24.38,Premium,444,False
13036,7766,19.51,compra,atm,varejo,2025-01-01 03:00:00,approved,17.45,Premium,900,False
6950,3898,48.28,compra,app,varejo,2025-01-01 04:00:00,approved,54.75,Premium,804,False
11096,362,226.28,compra,app,varejo,2025-01-01 04:00:00,approved,10.78,Premium,686,False
9799,2052,652.83,compra,app,varejo,2025-01-01 05:00:00,approved,3.76,Premium,632,False
24444,1993,421.05,compra,app,alimentacao,2025-01-01 06:00:00,approved,64.35,Premium,686,False
24745,6776,91.5,transferencia,pos,eletronico,2025-01-01 07:00:00,approved,37.91,Standard,582,False
25163,6967,121.49,transferencia,atm,saude,2025-01-01 07:00:00,approved,84.57,Standard,785,False
12104,3868,75.05,saque,pos,saude,2025-01-01 07:00:00,approved,29.4,Premium,534,False
4009,6573,53.85,compra,pos,eletronico,2025-01-01 07:00:00,approved,20.94,Premium,900,False
16716,2336,310.14,compra,app,eletronico,2025-01-01 07:00:00,approved,70.42,Standard,719,False
26950,3671,50.78,transferencia,web,varejo,2025-01-01 07:00:00,approved,31.02,Standard,840,False
26661,7001,264.38,compra,pos,servicos,2025-01-01 08:00:00,approved,68.92,Standard,727,False
25728,2249,126.87,transferencia,app,viagem,2025-01-01 08:00:00,approved,91.99,Premium,541,False
2679,6376,331.29,compra,app,alimentacao,2025-01-01 08:00:00,approved,99.07,Premium,635,False
28174,1359,36.93,pagamento,atm,viagem,2025-01-01 08:00:00,approved,12.23,Premium,634,False
7904,830,84.58,pagamento,app,eletronico,2025-01-01 08:00:00,approved,48.08,Premium,496,False
2377,1349,101.51,pagamento,web,eletronico,2025-01-01 09:00:00,approved,82.17,High-Risk,667,False
28628,5506,10.95,pagamento,pos,viagem,2025-01-01 09:00:00,approved,36.81,Standard,300,False
25417,998,81.62,compra,app,viagem,2025-01-01 09:00:00,approved,47.03,Premium,522,False
21212,2,5.0,transferencia,app,saude,2025-01-01 10:00:00,declined,58.19,Premium,523,True
16371,5846,79.81,compra,web,varejo,2025-01-01 10:00:00,approved,46.01,Standard,712,False
1811,1854,35.55,saque,web,alimentacao,2025-01-01 10:00:00,approved,81.94,Premium,900,False
19868,4832,25.85,pagamento,app,alimentacao,2025-01-01 10:00:00,declined,58.57,High-Risk,875,True
18985,7661,18.01,compra,app,viagem,2025-01-01 11:00:00,approved,40.29,Standard,761,False
15590,2694,60.86,compra,app,eletronico,2025-01-01 11:00:00,approved,45.26,Premium,715,False
2433,6332,316.1,compra,app,alimentacao,2025-01-01 11:00:00,approved,34.98,Standard,673,False
13988,343,122.74,compra,web,alimentacao,2025-01-01 11:00:00,approved,50.05,Standard,559,False
16568,2482,981.11,saque,app,eletronico,2025-01-01 12:00:00,approved,43.36,Premium,429,False
5574,1510,1885.65,compra,app,servicos,2025-01-01 12:00:00,approved,28.49,Standard,718,False
28503,5865,24.7,compra,pos,varejo,2025-01-01 12:00:00,approved,40.72,Premium,668,False
10857,6007,122.24,compra,pos,varejo,2025-01-01 12:00:00,approved,92.24,Premium,900,False
16760,131,1173.67,compra,web,varejo,2025-01-01 12:00:00,approved,1.99,Premium,740,False
29655,3499,152.54,saque,pos,varejo,2025-01-01 12:00:00,approved,57.98,High-Risk,783,False
17890,5220,48.57,transferencia,web,viagem,2025-01-01 12:00:00,approved,57.77,High-Risk,593,False
326,1390,88.4,pagamento,pos,saude,2025-01-01 13:00:00,approved,24.69,Premium,742,False
28942,733,315.79,compra,app,alimentacao,2025-01-01 13:00:00,approved,2.04,Premium,657,False
18329,1966,5.2,compra,web,servicos,2025-01-01 13:00:00,approved,71.05,Premium,479,False
22035,2473,49.47,transferencia,atm,saude,2025-01-01 13:00:00,approved,58.09,Premium,545,False
22049,7968,118.93,compra,app,alimentacao,2025-01-01 14:00:00,approved,52.72,High-Risk,461,False
27048,6978,297.08,compra,app,servicos,2025-01-01 15:00:00,approved,64.68,High-Risk,446,False
13377,5925,53.54,compra,web,alimentacao,2025-01-01 15:00:00,approved,70.49,Premium,427,False
18422,4360,387.2,transferencia,web,alimentacao,2025-01-01 15:00:00,approved,36.27,Premium,436,False
14756,5020,45.75,saque,pos,eletronico,2025-01-01 17:00:00,declined,37.11,Premium,638,False
20248,167,55.88,transferencia,web,varejo,2025-01-01 17:00:00,declined,76.28,Premium,592,False
18547,3022,9.51,compra,app,eletronico,2025-01-01 17:00:00,approved,70.13,Premium,640,False
16391,2231,9.65,compra,app,servicos,2025-01-01 17:00:00,approved,62.32,Premium,656,False
3428,682,11.11,compra,app,servicos,2025-01-01 18:00:00,approved,93.16,High-Risk,807,False
24574,1604,17.3,compra,pos,varejo,2025-01-01 18:00:00,approved,46.41,Premium,772,False
25037,1903,15.04,compra,pos,alimentacao,2025-01-01 19:00:00,approved,86.14,High-Risk,300,False
12675,6839,13.88,compra,web,varejo,2025-01-01 19:00:00,approved,69.76,Premium,634,False
274,200,36.78,transferencia,atm,varejo,2025-01-01 19:00:00,approved,59.22,Premium,562,False
8407,3693,87.88,compra,app,saude,2025-01-01 20:00:00,approved,20.12,Premium,762,False
14015,1435,167.42,pagamento,atm,saude,2025-01-01 20:00:00,approved,44.53,Premium,746,False
27197,5247,77.73,transferencia,web,alimentacao,2025-01-01 20:00:00,approved,95.99,Premium,579,False
25535,6876,171.58,pagamento,app,alimentacao,2025-01-01 21:00:00,approved,20.4,Premium,678,False
25676,5755,56.47,compra,app,viagem,2025-01-01 21:00:00,declined,37.28,High-Risk,673,True
27640,6007,99.07,transferencia,app,alimentacao,2025-01-01 22:00:00,approved,77.82,Standard,738,False
14271,4242,778.39,transferencia,web,varejo,2025-01-01 22:00:00,approved,38.19,Standard,780,False
6215,7391,412.11,transferencia,pos,viagem,2025-01-01 22:00:00,approved,43.33,Standard,711,False
5808,2693,394.76,compra,app,viagem,2025-01-01 22:00:00,approved,65.12,Premium,550,False
28951,3910,5.76,compra,web,varejo,2025-01-01 22:00:00,approved,20.23,High-Risk,818,False
10429,700,137.77,pagamento,pos,alimentacao,2025-01-01 23:00:00,approved,64.66,Standard,572,False
6355,4799,77.17,transferencia,app,alimentacao,2025-01-01 23:00:00,approved,25.85,Premium,612,False
19902,6144,75.61,transferencia,atm,varejo,2025-01-01 23:00:00,approved,43.75,Premium,569,False
16177,2955,312.76,transferencia,app,varejo,2025-01-01 23:00:00,approved,55.01,High-Risk,624,False
21342,6868,27.2,compra,app,saude,2025-01-02 00:00:00,approved,64.93,Premium,723,False
19041,1334,224.04,pagamento,pos,varejo,2025-01-02 00:00:00,approved,19.23,Premium,504,False
1961,6668,202.03,compra,web,alimentacao,2025-01-02 00:00:00,approved,97.66,Premium,471,False
22639,5724,20.87,saque,atm,viagem,2025-01-02 00:00:00,approved,20.33,Premium,617,False
3546,6084,41.11,transferencia,app,varejo,2025-01-02 00:00:00,approved,69.69,Premium,813,False
9470,520,15.96,compra,web,eletronico,2025-01-02 01:00:00,approved,33.6,Premium,796,False
14972,4218,45.07,compra,app,servicos,2025-01-02 02:00:00,approved,13.5,Standard,649,False
10449,6459,60.93,compra,web,varejo,2025-01-02 02:00:00,approved,53.87,Premium,707,False
9243,4843,88.66,compra,web,viagem,2025-01-02 03:00:00,approved,9.77,High-Risk,678,False
23729,7848,5.0,compra,web,varejo,2025-01-02 03:00:00,approved,34.21,Standard,498,False
3099,5745,28.33,transferencia,atm,saude,2025-01-02 03:00:00,approved,36.82,High-Risk,691,False
5664,5918,146.54,compra,app,alimentacao,2025-01-02 03:00:00,approved,65.23,Premium,604,False
3773,6023,18.19,compra,web,varejo,2025-01-02 03:00:00,approved,64.68,Standard,568,False
18690,6620,26.24,saque,web,viagem,2025-01-02 03:00:00,approved,42.55,Premium,857,False
4173,4474,15.07,saque,app,varejo,2025-01-02 03:00:00,approved,4.84,Standard,421,False
1969,1659,11.11,compra,app,servicos,2025-01-02 04:00:00,approved,33.11,Standard,646,False
16439,1958,19.74,pagamento,atm,eletronico,2025-01-02 04:00:00,approved,75.56,Premium,689,False
5709,5128,5.0,transferencia,app,varejo,2025-01-02 05:00:00,approved,82.27,Standard,637,False
11117,4919,45.91,compra,pos,eletronico,2025-01-02 05:00:00,approved,78.01,Premium,631,False
21719,7723,23.15,transferencia,web,varejo,2025-01-02 05:00:00,approved,82.41,Standard,546,False
17286,2425,85.58,transferencia,atm,viagem,2025-01-02 06:00:00,approved,44.85,Premium,300,False
12653,670,9.26,compra,pos,varejo,2025-01-02 06:00:00,approved,11.42,Premium,723,False
6896,4684,13.96,compra,app,servicos,2025-01-02 06:00:00,declined,72.81,High-Risk,775,False
6508,5067,10.73,saque,atm,servicos,2025-01-02 07:00:00,declined,31.64,Premium,663,False
3825,5539,22.69,compra,web,alimentacao,2025-01-02 07:00:00,approved,2.65,Premium,583,False
28075,6046,34.19,transferencia,atm,alimentacao,2025-01-02 07:00:00,approved,63.36,Standard,704,False
18893,5799,471.74,compra,app,viagem,2025-01-02 08:00:00,approved,39.02,Premium,865,False
18003,551,60.89,compra,web,varejo,2025-01-02 08:00:00,approved,26.9,Premium,748,False
14747,7832,45.1,compra,app,eletronico,2025-01-02 08:00:00,approved,70.23,Standard,660,False
4530,2751,303.16,compra,web,varejo,2025-01-02 08:00:00,approved,98.84,High-Risk,550,False
25446,1235,351.63,transferencia,app,alimentacao,2025-01-02 08:00:00,approved,11.68,Premium,726,False
3079,2363,136.15,compra,app,alimentacao,2025-01-02 08:00:00,approved,66.04,Premium,509,False
3633,7193,131.09,compra,atm,varejo,2025-01-02 08:00:00,approved,80.7,Premium,900,False
3518,2489,97.28,compra,web,eletronico,2025-01-02 09:00:00,approved,27.12,Premium,611,False
24836,2235,140.82,transferencia,app,varejo,2025-01-02 09:00:00,approved,77.45,Premium,603,False
8915,338,87.05,compra,atm,alimentacao,2025-01-02 09:00:00,approved,78.03,Premium,578,False
7881,5319,23.98,saque,pos,varejo,2025-01-02 09:00:00,approved,95.98,Premium,613,False
26194,4554,16.9,compra,pos,eletronico,2025-01-02 10:00:00,approved,16.24,Premium,306,False
5514,3792,5.0,compra,atm,viagem,2025-01-02 10:00:00,approved,42.08,Premium,746,False
23726,2115,191.41,compra,pos,viagem,2025-01-02 10:00:00,approved,85.32,Premium,309,False
4942,6599,10.01,compra,web,viagem,2025-01-02 10:00:00,approved,71.13,Standard,854,False
12822,5931,140.34,transferencia,app,varejo,2025-01-02 10:00:00,approved,65.88,High-Risk,766,False
18531,5486,97.53,saque,app,servicos,2025-01-02 10:00:00,approved,76.77,Standard,704,False
17556,2625,11.84,pagamento,app,varejo,2025-01-02 11:00:00,approved,68.52,Premium,701,False
283,4390,28.78,compra,web,varejo,2025-01-02 11:00:00,approved,68.34,Premium,535,False
6491,5672,61.35,compra,pos,varejo,2025-01-02 11:00:00,approved,15.64,Premium,737,False
8009,7497,21.78,transferencia,app,servicos,2025-01-02 11:00:00,approved,89.23,Premium,754,False
13670,691,38.61,pagamento,web,varejo,2025-01-02 11:00:00,approved,80.52,Standard,753,False
13677,6804,45.53,transferencia,app,servicos,2025-01-02 11:00:00,declined,77.33,Premium,629,False
29359,2776,697.18,pagamento,app,saude,2025-01-02 12:00:00,approved,31.83,Premium,701,False
14827,389,113.53,saque,web,eletronico,2025-01-02 12:00:00,approved,55.74,Standard,677,False
12849,45,75.28,compra,pos,servicos,2025-01-02 12:00:00,approved,97.96,Standard,765,False
18863,3458,263.07,compra,app,saude,2025-01-02 12:00:00,approved,66.42,Premium,838,False
14322,5816,32.35,pagamento,web,varejo,2025-01-02 12:00:00,approved,66.51,Standard,900,False
2432,37,276.92,compra,web,eletronico,2025-01-02 12:00:00,approved,20.18,Premium,847,False
14492,4415,25.55,compra,pos,viagem,2025-01-02 13:00:00,declined,94.82,Standard,624,True
4921,4119,285.12,saque,app,alimentacao,2025-01-02 13:00:00,approved,50.78,Standard,353,False
24594,5244,52.91,pagamento,web,varejo,2025-01-02 13:00:00,approved,24.45,Premium,523,False
2358,5837,162.52,saque,pos,alimentacao,2025-01-02 13:00:00,declined,6.41,Premium,596,False
19238,5014,255.61,transferencia,pos,varejo,2025-01-02 13:00:00,approved,56.48,Standard,458,False
23437,4762,10.38,compra,web,alimentacao,2025-01-02 14:00:00,approved,89.04,High-Risk,571,False
1128,5859,1209.78,saque,web,alimentacao,2025-01-02 14:00:00,approved,60.29,Premium,602,False
1270,6750,472.6,transferencia,web,varejo,2025-01-02 15:00:00,approved,60.32,High-Risk,831,False
